	transactions	input_value	output_value	fee	day	month	year
4223	855339	190993579885858.000000000	190993579885858.000000000	681227088626.000000000	13	4	2021
4224	795461	182463084142733.000000000	182463084142733.000000000	1065032413595.000000000	14	4	2021
4225	1071138	184611257714582.000000000	184611257714582.000000000	1544209901269.000000000	15	4	2021
4226	588084	183752682844406.000000000	183752682844406.000000000	1107316552181.000000000	16	4	2021
4227	553824	114115934134030.000000000	114115934134030.000000000	1425093664973.000000000	17	4	2021
4228	747646	165497775390284.000000000	165497775390284.000000000	1629597159450.000000000	18	4	2021
4229	559971	127917713241715.000000000	127917713241715.000000000	1453457761885.000000000	19	4	2021
4230	770886	186867394355637.000000000	186867394355637.000000000	2118204915748.000000000	20	4	2021
4231	587201	193001813900099.000000000	193001813900099.000000000	1631668488932.000000000	21	4	2021
4232	881594	218862432581755.000000000	218862432581755.000000000	3014676966312.000000000	22	4	2021
4233	833478	218403442228985.000000000	218403442228985.000000000	1921051443388.000000000	23	4	2021
4234	936574	160043412178445.000000000	160043412178445.000000000	1450652485042.000000000	24	4	2021
4235	956598	163633865768240.000000000	163633865768240.000000000	1223421135268.000000000	25	4	2021
4236	698707	215285625698785.000000000	215285625698785.000000000	1301696692772.000000000	26	4	2021
4237	895921	228778350217659.000000000	228778350217659.000000000	1406882120479.000000000	27	4	2021
4238	896095	200480662390548.000000000	200480662390548.000000000	1243857860634.000000000	28	4	2021
4239	744766	211277223221998.000000000	211277223221998.000000000	1153940790649.000000000	29	4	2021
4240	922062	229018403817863.000000000	229018403817863.000000000	1107035783340.000000000	30	4	2021
4241	896126	160821614213353.000000000	160821614213353.000000000	847172792759.000000000	1	5	2021
4242	1338515	149103946283667.000000000	149103946283667.000000000	1128845525313.000000000	2	5	2021
4243	1222637	215942672844687.000000000	215942672844687.000000000	1045474866577.000000000	3	5	2021
4244	1215055	228039389876555.000000000	228039389876555.000000000	866926432381.000000000	4	5	2021
4245	1018567	182848373494905.000000000	182848373494905.000000000	743567602849.000000000	5	5	2021
4246	1083752	180812170158911.000000000	180812170158911.000000000	844142098626.000000000	6	5	2021
4247	1061976	193953249227636.000000000	193953249227636.000000000	995023871124.000000000	7	5	2021
4248	1076564	137620647369796.000000000	137620647369796.000000000	907303710997.000000000	8	5	2021
4249	1222248	108585454348250.000000000	108585454348250.000000000	709948613984.000000000	9	5	2021
4250	1190001	141293821614803.000000000	141293821614803.000000000	928140102609.000000000	10	5	2021
4251	1077655	120424561329468.000000000	120424561329468.000000000	678309153649.000000000	11	5	2021
4252	1081968	155703724882449.000000000	155703724882449.000000000	675286082247.000000000	12	5	2021
4253	1005308	250151566771980.000000000	250151566771980.000000000	615449073720.000000000	13	5	2021
4254	809000	229100716837060.000000000	229100716837060.000000000	585246513442.000000000	14	5	2021
4255	782804	192139239736907.000000000	192139239736907.000000000	576642790360.000000000	15	5	2021
4256	862540	182712496286727.000000000	182712496286727.000000000	430813721853.000000000	16	5	2021
4257	751684	258679725158769.000000000	258679725158769.000000000	706389124221.000000000	17	5	2021
4258	604969	186819042933861.000000000	186819042933861.000000000	471922878527.000000000	18	5	2021
4259	756874	302764123648209.000000000	302764123648209.000000000	812012280878.000000000	19	5	2021
4260	660058	285137871037168.000000000	285137871037168.000000000	1017433521439.000000000	20	5	2021
4261	650805	219510205833004.000000000	219510205833004.000000000	1026719040367.000000000	21	5	2021
4262	721861	236245072055730.000000000	236245072055730.000000000	919240758748.000000000	22	5	2021
4263	797243	222949924997166.000000000	222949924997166.000000000	830206436981.000000000	23	5	2021
4264	819993	260964131674687.000000000	260964131674687.000000000	806599443095.000000000	24	5	2021
4265	797199	228907586589976.000000000	228907586589976.000000000	635606718780.000000000	25	5	2021
4266	761705	222162184359887.000000000	222162184359887.000000000	719547621815.000000000	26	5	2021
4267	708965	198193762024669.000000000	198193762024669.000000000	481022154413.000000000	27	5	2021
4268	760143	289630865775955.000000000	289630865775955.000000000	555318230158.000000000	28	5	2021
4269	743901	203840050092891.000000000	203840050092891.000000000	398032209803.000000000	29	5	2021
4270	1002434	108165030209890.000000000	108165030209890.000000000	358375450427.000000000	30	5	2021
4271	925611	112568826063795.000000000	112568826063795.000000000	405799452715.000000000	31	5	2021
4272	843631	149005286790234.000000000	149005286790234.000000000	381175918702.000000000	1	6	2021
4273	1022899	115224408698810.000000000	115224408698810.000000000	592949922829.000000000	2	6	2021
4274	899533	122208538119986.000000000	122208538119986.000000000	469134208862.000000000	3	6	2021
4275	792798	102805850348883.000000000	102805850348883.000000000	336172761554.000000000	4	6	2021
4276	646665	76447281542827.000000000	76447281542827.000000000	247882506072.000000000	5	6	2021
4277	667727	178217132241503.000000000	178217132241503.000000000	164171373018.000000000	6	6	2021
4278	778892	215652729278223.000000000	215652729278223.000000000	309280879896.000000000	7	6	2021
4279	884635	252638821075509.000000000	252638821075509.000000000	301680704473.000000000	8	6	2021
4280	601555	132478355292444.000000000	132478355292444.000000000	258359123095.000000000	9	6	2021
4281	732693	141129784807444.000000000	141129784807444.000000000	346010191871.000000000	10	6	2021
4282	654277	146317475104068.000000000	146317475104068.000000000	305049020500.000000000	11	6	2021
4283	894305	100916569843936.000000000	100916569843936.000000000	302340189699.000000000	12	6	2021
4284	701406	118249651243755.000000000	118249651243755.000000000	215306040309.000000000	13	6	2021
4285	788119	148615852888815.000000000	148615852888815.000000000	269558074684.000000000	14	6	2021
4286	792083	140297737825072.000000000	140297737825072.000000000	291711629518.000000000	15	6	2021
4287	784971	160768794153264.000000000	160768794153264.000000000	296208852774.000000000	16	6	2021
4288	725393	156784554091445.000000000	156784554091445.000000000	251796039583.000000000	17	6	2021
4289	685525	155534904734706.000000000	155534904734706.000000000	257755090995.000000000	18	6	2021
4290	593017	107890333358671.000000000	107890333358671.000000000	137608740560.000000000	19	6	2021
4291	689064	127709854587105.000000000	127709854587105.000000000	191559910216.000000000	20	6	2021
4292	696943	174807184934062.000000000	174807184934062.000000000	362256331929.000000000	21	6	2021
4293	592625	193634790816713.000000000	193634790816713.000000000	346850462389.000000000	22	6	2021
4294	658906	182208081438512.000000000	182208081438512.000000000	433434374195.000000000	23	6	2021
4295	689679	185717410332625.000000000	185717410332625.000000000	318219327689.000000000	24	6	2021
4296	742834	237716205667160.000000000	237716205667160.000000000	330939188544.000000000	25	6	2021
4297	604053	177465894229779.000000000	177465894229779.000000000	179245453746.000000000	26	6	2021
4298	364605	127576019632162.000000000	127576019632162.000000000	151493105474.000000000	27	6	2021
4299	552383	166629643456230.000000000	166629643456230.000000000	328611150096.000000000	28	6	2021
4300	577614	137604670132700.000000000	137604670132700.000000000	316119324529.000000000	29	6	2021
4301	557489	121089334337051.000000000	121089334337051.000000000	440611104662.000000000	30	6	2021
4302	620179	167074332918020.000000000	167074332918020.000000000	584471652894.000000000	1	7	2021
4303	593189	173224699639381.000000000	173224699639381.000000000	429736766069.000000000	2	7	2021
4304	909531	129559541148783.000000000	129559541148783.000000000	467003011652.000000000	3	7	2021
4305	827593	158628595761520.000000000	158628595761520.000000000	413995549880.000000000	4	7	2021
4306	865388	143993585789433.000000000	143993585789433.000000000	461687617116.000000000	5	7	2021
4307	756760	133205812983979.000000000	133205812983979.000000000	386317974371.000000000	6	7	2021
4308	690746	132491774336793.000000000	132491774336793.000000000	267305819790.000000000	7	7	2021
4309	665188	325053405908542.000000000	325053405908542.000000000	164339054009.000000000	8	7	2021
4310	750864	342478330304413.000000000	342478330304413.000000000	176857516042.000000000	9	7	2021
4311	596684	185403433952898.000000000	185403433952898.000000000	161147537946.000000000	10	7	2021
4312	685087	185776284979274.000000000	185776284979274.000000000	232535131017.000000000	11	7	2021
4313	689306	167611666361542.000000000	167611666361542.000000000	265892227161.000000000	12	7	2021
4314	759254	151438134067515.000000000	151438134067515.000000000	227914332756.000000000	13	7	2021
